,CoC,Year,HUD,Predicted_Count,Predicted_Count_low,Predicted_Count_high,Predicted_Total,Predicted_Total_low,Predicted_Total_high
1,AK-500,2011,1223,1224.59696,1105,1349.05,1336.11088,1260,1443
2,AK-500,2012,1147,1148.86552,1036,1266.05,1254.38256,1183,1357
3,AK-500,2013,1122,1129.35632,1017,1247,1232.56,1158,1337
4,AK-500,2014,1023,1035.45532,931,1144.05,1128.97224,1059,1224
5,AK-500,2015,1208,1207.37888,1090,1331,1317.39536,1244,1424
6,AK-500,2016,1105,1108.19616,997,1224,1210.22636,1139,1314
7,AK-500,2017,1128,1128.40264,1018,1245,1230.88204,1162,1332
8,AK-501,2011,905,893.67412,809,978,983.31648,934,1051
9,AK-501,2012,766,766.41904,689,848,843.17824,794,915
10,AK-501,2013,824,824.786,742,913,906.8718,854,982
11,AK-501,2014,761,768.0366,689,854,844.9234,791,923
12,AK-501,2015,748,752.87124,676,834,828.0078,776,899
13,AK-501,2016,835,832.8846,750,915,916.17828,865,987
14,AK-501,2017,717,721.3606,648,796,793.39824,745,858
15,AL-500,2011,1950,1908.58844,1696,2134,2497.54644,2324,2702
16,AL-500,2012,1707,1686.97288,1501,1882,2206.58372,2057,2383
17,AL-500,2013,1469,1468.68948,1299,1653,1919.95068,1777,2100
18,AL-500,2014,1329,1342.40764,1187,1504,1755.88252,1619,1903
19,AL-500,2015,1153,1167.38684,1029,1321,1526.57328,1408,1683
20,AL-500,2016,1228,1228.3286,1088,1372,1605.81312,1486,1736
21,AL-500,2017,1092,1116.37492,986,1253,1459.52956,1347,1589.05
22,AL-501,2011,718,709.20272,628,795,896.58988,831.95,977
23,AL-501,2012,634,633.4112,561,708,800.75072,742,866
24,AL-501,2013,493,502.30492,442,567,634.87516,582,698
25,AL-501,2014,598,598.97048,529,674,757.04836,699,826
26,AL-501,2015,578,587.73652,518,661,742.8466,683,813
27,AL-501,2016,623,618.74992,548,692,781.71272,725,847
28,AL-501,2017,606,607.76448,536,683,768.31764,709,839
29,AL-502,2011,244,242.12368,218,265,259.3518,247,279
30,AL-502,2012,192,193.83436,173,216,207.61708,195,228
31,AL-502,2013,223,222.93636,200,246,238.76812,226,259
32,AL-502,2014,209,210.3596,188,235,225.40476,212,248
33,AL-502,2015,245,244.39412,220,269,261.88356,248,283
34,AL-502,2016,337,333.42448,302,365,357.04728,341,384
35,AL-502,2017,155,158.41668,141,179,169.73484,158,188
36,AL-503,2011,656,650.75488,584,720,742.82324,698,801
37,AL-503,2012,607,601.91424,539,667,687.37116,645,745
38,AL-503,2013,586,584.69056,523,649,667.67544,624.95,725
39,AL-503,2014,536,535.35692,480,595,611.6348,572,664
40,AL-503,2015,420,427.047,380,476,487.442,452,532
41,AL-503,2016,385,394.74496,350,442,450.76544,416,495
42,AL-503,2017,436,439.1164,392,490,500.99212,467,545
43,AL-504,2011,433,432.20016,384,482,519.80772,482,564
44,AL-504,2012,487,484.7282,431,541,582.93232,543,634
45,AL-504,2013,515,511.701,456,571,615.29312,573,667
46,AL-504,2014,490,484.57916,432,539,582.52552,544,630
47,AL-504,2015,441,442.78944,393,495,532.34252,494,580
48,AL-504,2016,367,372.48904,329,419,447.76392,413,491
49,AL-504,2017,377,379.58776,336,425,456.36928,422,498
50,AL-506,2011,265,263.54684,238,290,282.97156,269,305
51,AL-506,2012,152,153.46016,137,172,164.86488,154,181
52,AL-506,2013,99,101.29336,89,115,108.812,101,122
53,AL-506,2014,245,244.87004,220,272,262.98744,249,287
54,AL-506,2015,339,337.07456,304,373,362.1148,344,393
55,AL-506,2016,177,178.66716,159,200,191.8782,180,211
56,AL-506,2017,200,200.42932,180,223,215.26188,203,235
57,AL-507,2011,797,799.88776,720,881,893.8518,840,961
58,AL-507,2012,886,881.10588,794,977,984.47752,927,1069
59,AL-507,2013,905,901.76556,813,989,1007.45648,951,1080
60,AL-507,2014,716,719.0184,646,795,803.2788,753,868
61,AL-507,2015,638,650.82556,580,728,727.30596,676,798
62,AL-507,2016,827,821.03356,738.95,905,917.50572,866,988
63,AL-507,2017,764,770.3318,690,860,860.40956,805,944
64,AR-500,2011,1276,1266.03308,1134,1404,1508.7214,1414,1630
65,AR-500,2012,1249,1235.52292,1106,1375,1472.2792,1378,1595
66,AR-500,2013,1066,1068.09992,952,1193,1273.3554,1184,1389
67,AR-500,2014,1074,1070.83024,955,1193,1276.87152,1189,1387
68,AR-500,2015,830,840.92008,748,937,1002.48376,930,1088
69,AR-500,2016,808,820.79484,730,915,978.12768,906,1063
70,AR-500,2017,1006,992.88476,888,1100.05,1184.2732,1109,1276
71,AR-501,2011,238,240.92244,215,269,265.26692,247,290
72,AR-501,2012,186,189.08784,167,213,208.24784,193,230
73,AR-501,2013,668,664.00556,599,734,731.04608,690,794
74,AR-501,2014,551,549.98488,495,606,605.39736,571,652
75,AR-501,2015,665,661.09212,597,729,728.103,688,786
76,AR-501,2016,550,548.67808,493,607,604.41728,569,654
77,AR-501,2017,330,333.24616,298,371,367.01724,343,401
78,AR-503,2011,943,953.22352,845,1064,1142.98156,1057,1243
79,AR-503,2012,1873,1857.60164,1662.95,2060,2225.99744,2078,2399
80,AR-503,2013,1678,1679.39668,1499,1867,2012.37488,1868,2179
81,AR-503,2014,1028,1036.91724,923,1155,1241.98304,1149,1345
82,AR-503,2015,728,740.12172,656,832,886.93744,820,973
83,AR-503,2016,734,738.33896,654,826,885.10568,815,962.05
84,AR-503,2017,822,822.05288,732,916,985.1756,916,1070
85,AR-505,2011,94,93.01744,84,102,97.91772,94,106
86,AR-505,2012,64,64.63424,57,73,68.01492,64,75
87,AR-505,2013,64,64.86368,57,73,68.27384,64,76
88,AR-505,2014,70,70.27688,62,78,73.96368,70,81
89,AR-505,2015,72,72.33352,64,81,76.14452,72,84
90,AR-505,2016,89,88.5752,79,98,93.2046,89,101
91,AR-505,2017,88,87.86028,79,97,92.4408,88,101
92,AR-512,2011,83,81.01772,68,95,111.46864,101,125
93,AR-512,2012,57,56.71264,46,68,77.95816,69,89
94,AR-512,2013,82,80.31896,67,95,110.45668,100,124
95,AR-512,2014,28,29.06668,22,36,39.93972,34,45
96,AR-512,2015,46,46.35128,37,56,63.75804,56,73
97,AR-512,2016,27,28.18008,22,35,38.70752,33,44
98,AR-512,2017,53,52.83016,43,63,72.65668,64,83
99,AZ-500,2011,2047,2078.4396,1827,2342,2907.6372,2668.95,3169
100,AZ-500,2012,2451,2414.35788,2134,2706,3378.50752,3136,3641
101,AZ-500,2013,2435,2441.81604,2135,2776,3415.66312,3126,3767
102,AZ-500,2014,2398,2403.85568,2120,2712,3362.51452,3108,3673
103,AZ-500,2015,2402,2381.94292,2088,2698,3333.3194,3051,3653
104,AZ-500,2016,2240,2246.60952,1972,2537,3144.55704,2880,3426
105,AZ-500,2017,1768,1798.11156,1568,2043,2515.20852,2286,2765
106,AZ-501,2011,2626,2597.10692,2316,2892,3304.64868,3084,3572
107,AZ-501,2012,2366,2333.4842,2078,2616,2966.70504,2761,3246
108,AZ-501,2013,2238,2245.71304,1996,2514,2857.09416,2646,3111
109,AZ-501,2014,2179,2167.56832,1925,2416,2756.80808,2555,2985
110,AZ-501,2015,1863,1865.95228,1651,2099,2372.8306,2192,2604
111,AZ-501,2016,1765,1769.15212,1559,2003,2250.82736,2068,2495
112,AZ-501,2017,1574,1587.14476,1406,1783,2018.43032,1860,2211
113,AZ-502,2011,5831,5804.23644,5209,6417,7135.91316,6674,7651
114,AZ-502,2012,6485,6402.98652,5753.95,7076.05,7871.87504,7409,8477
115,AZ-502,2013,5889,5873.0752,5289,6455,7222.13172,6803,7682
116,AZ-502,2014,5918,5871.68184,5264,6482,7216.4182,6783,7757
117,AZ-502,2015,5631,5630.15004,5051,6222,6919.77904,6473,7406.05
118,AZ-502,2016,5702,5650.2432,5058,6248,6944.55656,6482,7453
119,AZ-502,2017,5605,5693.01412,5072,6388,6996.09308,6490,7663
120,CA-500,2011,7067,7009.08208,6151.95,7915,9957.5468,9153,10821
121,CA-500,2012,7053,7104.55608,6289,7968,10093.83248,9328,10878
122,CA-500,2013,7631,7555.59096,6687,8444,10737.85844,9996,11535.05
123,CA-500,2014,7567,7638.67264,6702,8641,10853.02936,9927,11856
124,CA-500,2015,6556,6583.73744,5733,7466.05,9348.48708,8437,10273
125,CA-500,2016,6524,6535.19988,5774.95,7325,9286.14608,8612,10031
126,CA-500,2017,7394,7122.57448,6305,7988,10120.62856,9414,10933.05
127,CA-501,2011,5669,5654.97132,5031.95,6296,7313.9854,6804,7874
128,CA-501,2012,5895,5950.01844,5302,6614,7696.33088,7161,8299
129,CA-501,2013,7008,6890.0964,6143,7674,8916.30924,8332.95,9608.05
130,CA-501,2014,6408,6480.04332,5762,7223,8381.82856,7750,9060
131,CA-501,2015,6775,6803.31088,6070.95,7572,8798.68368,8217,9505.05
132,CA-501,2016,6996,6955.08156,6172,7757,8997.15624,8327,9715
133,CA-501,2017,6858,6847.60084,6096,7656,8854.86284,8239,9597
134,CA-502,2011,4178,4161.0154,3733,4588,5256.21064,4935.95,5597
135,CA-502,2012,4257,4269.26708,3786,4798.05,5391.03916,4972,5912
136,CA-502,2013,4264,4273.65132,3798,4802,5396.98164,5005,5920
137,CA-502,2014,4272,4352.60924,3858,4892,5495.92464,5061.95,6037
138,CA-502,2015,4040,4103.82428,3641,4608,5187.93856,4796,5685
139,CA-502,2016,4145,4261.82336,3777,4771,5386.69592,4962.95,5852
140,CA-502,2017,5629,5520.51964,4932,6121,6974.6174,6516,7488.05
141,CA-503,2011,2376,2377.01852,2112,2647,2982.3394,2764,3220
142,CA-503,2012,2812,2780.59636,2491,3074,3486.65608,3265,3738
143,CA-503,2013,2538,2541.40468,2258,2854,3186.9076,2948,3499
144,CA-503,2014,2449,2460.61936,2203,2724,3086.5144,2893,3312
145,CA-503,2015,2659,2681.474,2379,3000,3363.3906,3110,3670
146,CA-503,2016,2500,2535.7226,2251,2841,3180.9996,2947,3463
147,CA-503,2017,3665,3588.0042,3217,3967,4499.18816,4220.95,4818
148,CA-504,2011,4541,4474.87628,3931,5051,6234.52256,5719,6815
149,CA-504,2012,4483,4425.29716,3896,5001,6165.9778,5683,6791
150,CA-504,2013,4280,4221.151,3731,4725,5882.43844,5455,6339
151,CA-504,2014,4266,4229.51896,3735,4748,5893.45992,5459,6410.05
152,CA-504,2015,3097,3195.17424,2800,3619,4455.46944,4079,4885.05
153,CA-504,2016,2906,2926.4264,2572,3304,4078.86268,3753,4455
154,CA-504,2017,2835,2860.0472,2515,3231,3985.64148,3669,4360
155,CA-505,2011,2415,2416.97668,2128,2715,3389.90468,3121,3667
156,CA-505,2012,2386,2378.03896,2082,2700,3336.65808,3049,3676
157,CA-505,2013,2000,2016.26724,1762,2289,2830.25276,2586,3110.05
158,CA-505,2014,2009,2015.19144,1764,2280,2827.73916,2585,3087
159,CA-505,2015,2031,2023.22064,1780,2275,2840.10712,2622.95,3072
160,CA-505,2016,1730,1763.54808,1542,2010,2476.36316,2271,2751
161,CA-505,2017,1607,1646.89764,1435,1878,2310.92364,2104,2563
162,CA-506,2011,2699,2699.22584,2365,3058,3783.74724,3477,4161
163,CA-506,2012,2673,2702.8552,2368,3061.05,3789.27436,3473,4165
164,CA-506,2013,2955,2955.55904,2598,3328,4142.39356,3802,4499
165,CA-506,2014,2962,2979.69776,2613,3375,4174.90504,3817,4576
166,CA-506,2015,2959,2961.95604,2604,3327,4151.57764,3829,4507.05
167,CA-506,2016,3022,3068.144,2691,3478,4303.53164,3935.95,4717
168,CA-506,2017,3364,3314.23704,2926,3721,4647.48112,4293,5028
169,CA-507,2011,862,859.11496,762,964,1068.68908,991,1166
170,CA-507,2012,725,729.3244,647,816.05,907.67148,841,988
171,CA-507,2013,676,687.43656,606,774,855.22032,789,939
172,CA-507,2014,679,695.21772,612,786,865.13672,793,953
173,CA-507,2015,1318,1309.71292,1165,1466,1629.19348,1513,1775
174,CA-507,2016,1258,1254.4394,1116,1401,1561.21884,1449,1695
175,CA-507,2017,1117,1113.96544,992,1242,1385.81068,1291,1502
176,CA-508,2011,2771,2754.61972,2422,3104,3865.36716,3549,4208
177,CA-508,2012,2735,2712.28624,2374,3074,3805.99064,3478.95,4175
178,CA-508,2013,3536,3459.66264,3049,3898,4852.3566,4481,5275
179,CA-508,2014,3529,3453.40528,3050,3874,4843.90964,4478,5253
180,CA-508,2015,1964,2007.22504,1750,2287,2817.04368,2562,3107
181,CA-508,2016,1959,2003.45488,1749,2274,2812.40756,2570,3091
182,CA-508,2017,2249,2262.06868,1975,2572,3173.8786,2894,3498
183,CA-509,2011,1456,1427.52492,1243,1626,2136.1286,1955,2343
184,CA-509,2012,1441,1425.4538,1238,1627,2131.46824,1952,2347
185,CA-509,2013,1392,1380.81808,1199,1581,2064.85756,1883,2288
186,CA-509,2014,1404,1390.363,1208,1587,2080.55876,1898,2290
187,CA-509,2015,947,980.22048,845,1127,1466.25016,1324,1628
188,CA-509,2016,1242,1245.42772,1083,1420,1863.75024,1699,2054
189,CA-509,2017,1238,1243.08992,1075,1423,1860.09492,1691,2059
190,CA-510,2011,1434,1420.69164,1252,1607,1879.88264,1734,2068
191,CA-510,2012,1470,1445.13244,1282,1618,1912.0604,1775,2073
192,CA-510,2013,1201,1212.58336,1065,1376,1604.105,1473,1770
193,CA-510,2014,1156,1171.93252,1032,1326,1550.99348,1425,1708
194,CA-510,2015,1408,1409.8162,1247,1582,1865.89696,1728,2025
195,CA-510,2016,1434,1432.7888,1263,1613,1895.85872,1742,2073
196,CA-510,2017,1661,1640.21432,1455,1833,2170.73132,2022,2352
197,CA-511,2011,2540,2503.69952,2281,2716,2688.30456,2577,2856
198,CA-511,2012,1569,1586.04644,1423,1770,1705.0036,1601,1871
199,CA-511,2013,1541,1553.3674,1398,1726,1669.42856,1571,1827
200,CA-511,2014,1588,1592.68956,1437,1759,1710.9586,1618,1856.05
201,CA-511,2015,1708,1709.68876,1546,1882,1837.23932,1741,1990
202,CA-511,2016,1780,1785.39264,1614,1970,1917.98184,1813,2081
203,CA-511,2017,1542,1547.39752,1398,1699,1662.74624,1573,1792
204,CA-512,2011,1926,1919.83604,1690,2161,2551.71968,2347,2785
205,CA-512,2012,1845,1836.7304,1614,2085,2440.41044,2239,2703
206,CA-512,2013,1995,1978.73812,1744,2229,2630.29096,2417,2866
207,CA-512,2014,2024,2006.00108,1770,2258,2665.56804,2463,2913
208,CA-512,2015,1483,1475.31424,1304,1660,1959.53336,1814,2140
209,CA-512,2016,1361,1384.60852,1215,1567,1840.01016,1679,2020
210,CA-512,2017,1253,1268.33596,1117,1437,1683.6826,1550,1859
211,CA-513,2011,804,805.82136,708,911,1078.71932,993,1184
212,CA-513,2012,771,769.5794,675,873,1030.53024,947,1134
213,CA-513,2013,705,716.93448,628,811,959.40432,880,1052
214,CA-513,2014,763,762.34528,669,861,1020.039,937,1118
215,CA-513,2015,862,857.701,755,968,1147.23268,1058,1253
216,CA-513,2016,792,794.55552,702,893,1063.27196,983,1159
217,CA-513,2017,853,843.38144,745,948,1129.20116,1043,1228
218,CA-514,2011,5135,5108.39824,4516,5748.05,6813.63776,6284,7415
219,CA-514,2012,4492,4475.57056,3970.95,5027,5969.4986,5536,6497
220,CA-514,2013,3131,3145.14924,2781,3529,4197.0778,3881,4555
221,CA-514,2014,2592,2590.03368,2300,2892,3456.35608,3220,3745
222,CA-514,2015,1722,1765.34432,1553,1993,2355.2576,2159,2582
223,CA-514,2016,1883,1892.23036,1672,2126,2524.27956,2332,2744
224,CA-514,2017,2016,2048.0136,1793,2323,2734.07084,2498,3017
225,CA-515,2011,821,816.37092,722,918,1033.933,957,1129
226,CA-515,2012,742,749.2324,662,844,948.01284,874,1042
227,CA-515,2013,908,904.18224,800,1015,1144.35308,1058,1246
228,CA-515,2014,762,769.4704,679,865,973.87584,897,1063
229,CA-515,2015,796,807.39768,712,909,1022.22696,939,1119
230,CA-515,2016,1021,1002.04068,893,1120,1267.743,1182,1378
231,CA-515,2017,979,976.6732,864,1098,1235.74448,1142,1351
232,CA-516,2011,527,534.1808,472,601,647.99712,596,710
233,CA-516,2012,524,533.53392,472,599,647.38484,597,709
234,CA-516,2013,851,842.18076,750,938,1021.6282,951,1108
235,CA-516,2014,630,637.01704,563,717,772.99312,712,849
236,CA-516,2015,591,602.06828,533,676,731.27256,674,800
237,CA-516,2016,1272,1255.08088,1121,1397,1523.17572,1424,1650
238,CA-516,2017,934,931.30296,830,1036,1129.87752,1052,1223
239,CA-517,2011,230,232.06188,202,263,287.42276,263,317
240,CA-517,2012,248,250.21416,219,283,309.92056,284,341
241,CA-517,2013,245,248.12168,217,282,307.2982,281,339
242,CA-517,2014,285,283.69428,250,319,351.35216,325,384
243,CA-517,2015,293,292.9892,258,329,363.1126,335,396
244,CA-517,2016,317,315.34172,278,355,390.65616,361,427
245,CA-517,2017,315,311.82696,275,352,386.00616,357,423
246,CA-518,2011,569,583.30432,511,659,757.32784,693,832
247,CA-518,2012,622,636.902,557,723,827.27076,755,913
248,CA-518,2013,1329,1312.23156,1162,1480,1704.64344,1577,1871
249,CA-518,2014,1295,1276.74804,1131,1431,1658.5192,1537,1805
250,CA-518,2015,1082,1074.92276,950,1208,1395.9936,1289,1523
251,CA-518,2016,1118,1122.9762,990,1267,1458.79,1343,1602
252,CA-518,2017,1232,1222.6002,1082,1374,1586.81588,1467,1733
253,CA-519,2011,897,897.72476,788,1016,1175.67892,1079,1294
254,CA-519,2012,897,892.58084,785,1008,1168.84372,1075,1284
255,CA-519,2013,712,712.53316,628,802,933.22644,861,1016
256,CA-519,2014,696,704.08544,616,801,922.21112,843,1019
257,CA-519,2015,571,581.76192,510,659,762.25124,698,837
258,CA-519,2016,574,583.55336,511,662,764.16948,699,842
259,CA-519,2017,1195,1176.43084,1041,1321,1540.45368,1426,1676
260,CA-520,2011,486,486.73496,425,554,658.31688,602,725.05
261,CA-520,2012,502,504.23348,439,574,681.64952,621,753
262,CA-520,2013,372,379.87428,329,436,513.6534,465,570
263,CA-520,2014,768,758.11988,665,861,1025.7062,941,1129
264,CA-520,2015,898,883.37912,775,1000,1194.2016,1096,1309
265,CA-520,2016,516,520.43864,453,594,703.75392,641,780
266,CA-520,2017,454,460.29656,400,526,622.99032,566,689
267,CA-521,2011,468,468.28388,410,532,629.41288,577,693
268,CA-521,2012,513,508.42864,445,575,683.32912,628,746
269,CA-521,2013,474,473.83008,415,537,636.66212,585,698
270,CA-521,2014,442,447.87236,390,508,602.25788,551,661
271,CA-521,2015,498,497.06772,437,561,668.30832,616,729
272,CA-521,2016,532,528.96116,463,600,710.73664,654,782
273,CA-521,2017,459,463.6142,406,525,623.0414,571,682
274,CA-522,2011,861,865.06496,753,985,1250.74932,1141,1376
275,CA-522,2012,846,851.2588,740,974,1230.64228,1121,1361
276,CA-522,2013,864,869.59368,755,991,1256.52748,1145.95,1382
277,CA-522,2014,932,931.34456,812,1057,1347.08276,1233,1476
278,CA-522,2015,1180,1158.29004,1015,1311,1674.1068,1540,1824
279,CA-522,2016,1134,1116.05556,976,1269,1612.39192,1479,1770
280,CA-522,2017,759,777.14884,671,893,1123.53576,1016,1250
281,CA-523,2011,322,322.30312,279,369,440.7336,401,489
282,CA-523,2012,303,304.11304,263,348,415.58992,378,460
283,CA-523,2013,696,690.59056,603,785,944.70096,864,1040
284,CA-523,2014,567,559.2776,488,637,765.02928,702,842
285,CA-523,2015,136,138.40764,117,161,189.17388,170,212
286,CA-523,2016,115,117.025,98,137,160.06656,143,181
287,CA-523,2017,176,177.252,151,205,242.24456,218,271
288,CA-524,2011,649,652.93496,582,728,754.99828,703,825
289,CA-524,2012,492,500.14668,444,560,578.55664,536,633
290,CA-524,2013,1485,1462.8304,1317,1615,1691.9966,1591,1823
291,CA-524,2014,726,727.98304,651,810,841.97144,785,915
292,CA-524,2015,716,719.33128,643,801,831.79484,774,906
293,CA-524,2016,702,706.99928,631,789,817.48488,761,891
294,CA-524,2017,760,761.86096,681,850,881.6264,822,959
295,CA-525,2011,170,173.08752,149,199,230.28712,208,256
296,CA-525,2012,217,217.66848,188,249,289.76132,264,321
297,CA-525,2013,180,180.72376,155,208,240.54344,218,267
298,CA-525,2014,195,198.62236,170,229,264.42236,239,295
299,CA-525,2015,269,268.09428,233,306,356.91112,326,394
300,CA-525,2016,269,271.06528,234,311,360.90432,328,400
301,CA-525,2017,602,585.82772,517,659,780.03856,722,848
302,CA-526,2011,406,406.8202,350,467,597.68384,543,662
303,CA-526,2012,379,381.73004,328,439,560.6828,507,621
304,CA-526,2013,376,380.60336,327,439,558.84072,506,622
305,CA-526,2014,382,387.72152,332,448,569.11016,513,635
306,CA-526,2015,430,432.98844,374,497,635.98704,578,703
307,CA-526,2016,632,614.85704,535,702,902.50712,828,992
308,CA-526,2017,367,378.1266,323,438,555.30944,500,618
309,CA-600,2011,34622,34680.19708,30320,39449.05,46381.18408,42129,51575.05
310,CA-600,2012,31553,31626.64228,27914,36069,42250.57804,39138,47355.1
311,CA-600,2013,35524,35840.753,31930.95,40468,47942.24976,44980.95,53284.1
312,CA-600,2014,34393,34295.76104,30405,38158,45854.23076,42313,49004
313,CA-600,2015,41174,40700.89988,36314.95,45381.05,54377.3898,50772,58783
314,CA-600,2016,43854,44333.6312,39367,49392.05,59293.44036,55332.95,63801
315,CA-600,2017,55188,54828.7024,48901,60886,73277.91512,68483.9,78986.05
316,CA-601,2011,9436,9227.1796,8220,10306,12088.76296,11299,13081
317,CA-601,2012,10013,10192.5664,8955,11647.05,13348.95412,12215,14989.05
318,CA-601,2013,8879,9000.27148,8033,9982,11788.7558,10985,12668
319,CA-601,2014,8506,8555.09264,7573,9588,11194.9224,10331,12184
320,CA-601,2015,8742,8743.05828,7763,9764,11452.49124,10578,12389
321,CA-601,2016,8669,8689.24208,7601.95,9913,11372.71732,10353,12660
322,CA-601,2017,9160,9234.09952,8150,10440,12090.07304,11118,13380
323,CA-602,2011,6939,6752.74336,5926,7691,9515.58764,8787,10662
324,CA-602,2012,7010,7007.20488,6150.95,7898,9871.03856,9078,10736
325,CA-602,2013,4251,4362.24476,3850,4923,6150.28776,5718,6730
326,CA-602,2014,3833,3827.57184,3360,4327.05,5390.33088,4970,5873.05
327,CA-602,2015,4452,4442.65296,3897.95,5008,6263.39196,5732,6830
328,CA-602,2016,4319,4371.87696,3836.95,4996,6162.40024,5666.95,6902
329,CA-602,2017,4792,4943.92572,4306,5616.05,6968.41168,6307,7709
330,CA-603,2011,1698,1685.33908,1472,1916,2416.11664,2214,2657
331,CA-603,2012,1546,1534.99116,1340,1737,2200.21564,2015,2401
332,CA-603,2013,1882,1869.8054,1637.95,2117,2679.19544,2455,2930
333,CA-603,2014,1832,1813.20392,1597,2045,2599.00168,2405,2820
334,CA-603,2015,1729,1730.81272,1518,1953,2480.9402,2282,2695
335,CA-603,2016,1813,1819.76552,1585,2070,2609.54152,2379,2868
336,CA-603,2017,1860,1852.59368,1621,2100,2656.14116,2439,2906
337,CA-604,2011,1439,1422.0898,1253.95,1604,1881.68644,1740,2062
338,CA-604,2012,1352,1335.4506,1178,1503,1766.25668,1627,1921
339,CA-604,2013,1152,1143.01208,1010,1286,1511.98212,1398,1651
340,CA-604,2014,992,1007.88296,887,1135,1333.95944,1224,1457
341,CA-604,2015,954,962.61264,848,1083,1274.4636,1176,1386
342,CA-604,2016,1067,1063.4338,937,1197,1406.77636,1295,1533
343,CA-604,2017,810,831.32576,726,947,1100.07332,1000,1219
344,CA-606,2011,3164,3131.1756,2788,3490,3951.53212,3673,4269.05
345,CA-606,2012,3170,3146.5814,2799,3515,3969.20652,3691,4311
346,CA-606,2013,2847,2848.52612,2538,3180,3592.11916,3348,3901
347,CA-606,2014,2738,2731.00516,2437,3046,3444.6624,3210,3738
348,CA-606,2015,2345,2364.35252,2100,2650,2983.06544,2764,3265
349,CA-606,2016,2250,2259.81676,2002,2536,2849.90468,2631,3111
350,CA-606,2017,1863,1914.32768,1696,2147,2413.7352,2226,2635
351,CA-607,2011,1216,1188.65624,1049,1338,1582.82352,1464,1722
352,CA-607,2012,904,901.55276,793,1019,1200.762,1104,1315
353,CA-607,2013,772,770.954,678,871,1026.09584,945,1124
354,CA-607,2014,666,669.27536,586,757,891.02232,816,977
355,CA-607,2015,632,639.90676,561,725,851.21776,780,935
356,CA-607,2016,530,539.30632,470,613,718.14648,656,791
357,CA-607,2017,575,586.19792,511,666,780.96144,711,861
358,CA-608,2011,6203,6145.53192,5412,6922,8519.13576,7855,9315
359,CA-608,2012,6096,6132.78348,5433,6886,8503.57584,7924,9234.05
360,CA-608,2013,2978,3049.29628,2669.95,3458,4229.35004,3868,4654
361,CA-608,2014,2945,2968.0656,2620,3324,4116.1448,3802,4441
362,CA-608,2015,2372,2422.58336,2111,2753,3358.20512,3058,3697
363,CA-608,2016,2165,2192.69136,1915.95,2482,3038.25488,2765,3325.05
364,CA-608,2017,2406,2377.09968,2087,2717,3295.04636,3032,3699
365,CA-609,2011,2825,2793.0784,2485,3115,3812.50328,3560,4095
366,CA-609,2012,2532,2546.11488,2238,2881,3474.38944,3198,3816
367,CA-609,2013,2321,2313.17832,2045,2598,3159.6996,2940,3430
368,CA-609,2014,2315,2312.9712,2038,2599,3156.2224,2913,3424
369,CA-609,2015,2149,2119.132,1884,2363,2893.28196,2701.95,3112
370,CA-609,2016,1887,1919.61372,1683,2190,2620.75784,2405,2911
371,CA-609,2017,1866,1908.07308,1686,2154,2605.02208,2420,2857
372,CA-611,2011,1810,1760.17744,1551,1978,2509.95272,2323,2712
373,CA-611,2012,1926,1904.0272,1669,2159,2716.6328,2497,2981
374,CA-611,2013,1674,1664.0768,1458,1887,2373.62724,2182.95,2605
375,CA-611,2014,1428,1448.3838,1267,1640,2066.0336,1894,2261
376,CA-611,2015,1417,1403.61392,1225,1598,2002.65968,1836,2206
377,CA-611,2016,1271,1284.02576,1118,1463,1830.74068,1666,2014
378,CA-611,2017,1152,1164.55128,1012,1336,1661.53596,1510,1852.05
379,CA-612,2011,412,405.70212,362,451,479.96692,449,520
380,CA-612,2012,299,299.19016,265,336,353.94572,328,387
381,CA-612,2013,318,317.2022,282,355,375.19916,349,409.05
382,CA-612,2014,292,291.21496,258,327,344.74852,320,376
383,CA-612,2015,208,210.90276,186,238,249.4882,230,274
384,CA-612,2016,240,238.62556,211,267,282.2994,262,308
385,CA-612,2017,168,171.14128,150,194,202.46024,185,223
386,CA-613,2011,508,506.20504,440,578,714.06064,652,787
387,CA-613,2012,239,241.2886,207,279,340.3018,307,381
388,CA-613,2013,252,256.02448,219,296,361.07488,326,402
389,CA-613,2014,298,300.06208,257,347,423.10348,381,472
390,CA-613,2015,554,552.03688,477,634,778.99788,708,868
391,CA-613,2016,380,381.15344,329,438,537.77788,488,599
392,CA-613,2017,1154,1137.4106,999,1286,1605.70724,1478,1756
393,CA-614,2011,2129,2114.86532,1815,2454,3398.46876,3085,3808
394,CA-614,2012,2129,2104.32736,1823,2401,3381.04944,3084,3691
395,CA-614,2013,2357,2319.79248,2000,2667,3727.09584,3396,4116
396,CA-614,2014,2366,2335.43092,2016,2690,3757.33964,3411.95,4170.05
397,CA-614,2015,1515,1541.41356,1328,1771,2475.37964,2247,2728
398,CA-614,2016,1368,1391.73364,1187,1621.05,2237.41352,2007,2520.05
399,CA-614,2017,1125,1168.52128,997,1347,1876.99592,1677,2079
400,CO-500,2011,9283,9181.43996,7985.95,10438,13653.97976,12427,14980
401,CO-500,2012,9283,9327.54384,8188,10536,13874.66092,12810,15057.05
402,CO-500,2013,2267,2289.81224,1989,2636,3407.08128,3100,3835
403,CO-500,2014,2188,2208.42228,1920,2502,3284.62468,2976,3578.05
404,CO-500,2015,3545,3521.08828,3088,3985,5239.69752,4832,5704
